album,artist,title
モラトリアムスパイラル,Suck a Stew Dry,絶望と希望のシーソーゲーム
高橋優 BEST 2009-2015 『笑う約束』,高橋優,(Where's) THE SILENT MAJORITY?
夜間飛行,石崎ひゅーい,夜間飛行
Two,Lenka,You Will Be Mine
Price Tag,Jessie J，B.o.B,Price Tag
热门华语271,戴荃,痒（原唱：黄龄）
痒,黄龄,痒
一度だけの恋なら / ルンがピカッと光ったら,ワルキューレ,いけないボーダーライン（TV动画《超时空要塞Δ》插曲 / TVアニメ『マクロスΔ』挿入歌）
在哪里,魏如萱,香格里拉
太阳,陈绮贞,鱼
旅行的意义,陈绮贞,旅行的意义
热门网络歌曲合集,五色石南叶,杀马特遇见洗剪吹
热门华语278,凯玟桑,对不起，金坷垃（Apologize）
热门华语265,B站伊丽莎白鼠,如何用100秒让张杰感受UP主的爱（原唱：张杰《这就是爱》）
四叶草Joyce Chu,朱主爱,好想你
五环之歌,岳云鹏，MC Hotdog,五环之歌（电影《煎饼侠》爆笑推广曲）
未收录的单曲,陈粒,历历万乡
热门华语241,陈粒,走马
如也,陈粒,易燃易爆炸
如也,陈粒,奇妙能力歌
如也,陈粒,走马
East of Eden,Zella Day,East of Eden
化物語音楽全集 Songs&Soundtracks,花澤香菜,恋愛サーキュレーション（TV动画《化物语》OP4 / TVアニメ「化物語」OP4テーマ）
Masked Heroes,Vexento,Masked Heroes
热门华语262,三无MarBlue,阴阳先生
Malaysia Chabor,朱主爱,Malaysia Chabor（马来西亚的查某）
我在人民广场吃炸鸡,阿肆,我在人民广场吃炸鸡
青春派 电影原声带,南征北战NZBZ,我的天空
Everything In The World (白金庆功版),曲婉婷,Jar Of Love
Imperialism,WORLD ORDER,Imperialism
2012,WORLD ORDER,MACHINE CIVILIZATION
World Order,WORLD ORDER,World Order
HAVE A NICE DAY,WORLD ORDER,HAVE A NICE DAY
Die Young,Kesha,Die Young
#3 Deluxe Version,The Script，will.i.am,Hall of Fame
Hey Jude,The Beatles,Hey Jude
绅士,薛之谦,演员
Beethoven Virus,Diana Boncheva,Purple Passion（紫色激情）
贫民百万歌星,MC Hotdog，张震岳，关颖,嗨嗨人生
Schnappi und Seine Freunde,Joy Gruttmann,Schnappi
未收录的单曲,陈粒,奇妙能力歌（Demo）
若你碰到他,蔡健雅,红色高跟鞋
Fade,Alan Walker,Fade
Melankton,Kate Havnevik,So:Lo
Continued Silence EP,Imagine Dragons,Radioactive
A/Z | aLIEz,mizuki，SawanoHiroyuki[nZk],aLIEz（TV动画《ALDNOAH.ZERO》ED2 / TVアニメ「アルドノア・ゼロ」ED2）
American Authors,American Authors,Best Day Of My Life
Royals,Lorde,Royals
空气中的视听与幻觉 LIVE,苏打绿,十年一刻 (Live)
Fearless,Taylor Swift,You Belong With Me
Shake It Off,Taylor Swift,Shake It Off
裂心,王力宏,裂心
Good For You,Selena Gomez，A$AP Rocky,Good For You
花千骨 电视原声带,张碧晨,年轮（电视剧《花千骨》插曲）
准备中,陈奕迅,起点‧终站 
"Hey, Soul Sister",Train,"Hey, Soul Sister"
V,Maroon 5,Sugar
世界,逃跑计划,夜空中最亮的星
Moves Like Jagger,Maroon 5,Moves Like Jagger
Blame,Calvin Harris，John Newman,Blame
热门华语262,小緣,格斗宝贝
热门华语262,雷军,Are You OK
Die Ultimative Chartshow - Die erfolgreichsten Radiohits,Fool's Garden,Lemon Tree（柠檬树）
惠威T200A试音碟,蔡琴,渡口
All about that bass,Meghan Trainor,All About that Bass
Secrets,Mary Lambert,Secrets
热门华语262,葛平,普通disco
最新热歌慢摇95,三无MarBlue,普通DISCO
普通DISCO,洛天依，言和，ilem,普通DISCO
Lights,Ellie Goulding,Lights
What Makes You Beautiful,One Direction,What Makes You Beautiful
The Show,Lenka,The Show
Trouble Is A Friend,Lenka,Trouble Is A Friend
Darin,Darin,Be What You Wanna Be（Be What You Wanna Be）
Hot Air Balloon-single,Owl City，Breanne Düren,The Saltwater Room
Hope,Tobu,Hope (Original Mix)
